,path,emotion
0,data/train-custom\hamed1-manipulated-_neutral.wav,neutral
1,data/train-custom\hamed1_neutral.wav,neutral
2,data/train-custom\hamed2-converted-manipulated-_neutral.wav,neutral
3,data/train-custom\hamed2_neutral.wav,neutral
4,data/train-custom\hamed3-converted-manipulated-_neutral.wav,neutral
5,data/train-custom\hamed3_neutral.wav,neutral
6,data/train-custom\hamed4-converted-manipulated-_neutral.wav,neutral
7,data/train-custom\hamed4_neutral.wav,neutral
8,data/train-custom\hamed5-converted-manipulated-_neutral.wav,neutral
9,data/train-custom\hamed5_neutral.wav,neutral
10,data/train-custom\hamed6-manipulated-_neutral.wav,neutral
11,data/train-custom\hamed6_neutral.wav,neutral
12,data/train-custom\hamed7-converted-manipulated-_neutral.wav,neutral
13,data/train-custom\hamed7_neutral.wav,neutral
14,data/train-custom\hamed8-manipulated-_neutral.wav,neutral
15,data/train-custom\hamed8_neutral.wav,neutral
16,data/train-custom\hamed9-manipulated-_neutral.wav,neutral
17,data/train-custom\hamed9_neutral.wav,neutral
18,data/train-custom\hamedA-converted-manipulated-_neutral.wav,neutral
19,data/train-custom\hamedA_neutral.wav,neutral
20,data/train-custom\hamedB-manipulated-_neutral.wav,neutral
21,data/train-custom\hamedB_neutral.wav,neutral
22,data/train-custom\hamedC-converted-manipulated-_neutral.wav,neutral
23,data/train-custom\hamedC_neutral.wav,neutral
24,data/train-custom\nadjib1-converted-manipulated-_neutral.wav,neutral
25,data/train-custom\nadjib1_neutral.wav,neutral
26,data/train-custom\nadjib2-converted-manipulated-_neutral.wav,neutral
27,data/train-custom\nadjib2_neutral.wav,neutral
28,data/train-custom\nadjib3-manipulated-_neutral.wav,neutral
29,data/train-custom\nadjib3_neutral.wav,neutral
30,data/train-custom\nadjib4-manipulated-_neutral.wav,neutral
31,data/train-custom\nadjib4_neutral.wav,neutral
32,data/train-custom\nadjib5-manipulated-_neutral.wav,neutral
33,data/train-custom\nadjib5_neutral.wav,neutral
34,data/train-custom\nadjib6-manipulated-_neutral.wav,neutral
35,data/train-custom\nadjib6_neutral.wav,neutral
36,data/train-custom\nadjib7-manipulated-_neutral.wav,neutral
37,data/train-custom\nadjib7_neutral.wav,neutral
38,data/train-custom\nadjib8-converted-manipulated-_neutral.wav,neutral
39,data/train-custom\nadjib8_neutral.wav,neutral
40,data/train-custom\nadjib9-converted-manipulated-_neutral.wav,neutral
41,data/train-custom\nadjib9_neutral.wav,neutral
42,data/train-custom\nadjibA-manipulated-_neutral.wav,neutral
43,data/train-custom\nadjibA_neutral.wav,neutral
44,data/train-custom\nadjibB-converted-manipulated-_neutral.wav,neutral
45,data/train-custom\nadjibB_neutral.wav,neutral
46,data/train-custom\nadjibC-converted-manipulated-_neutral.wav,neutral
47,data/train-custom\nadjibC_neutral.wav,neutral
48,data/train-custom\oumaima1-converted-manipulated-_neutral.wav,neutral
49,data/train-custom\oumaima1_neutral.wav,neutral
50,data/train-custom\oumaima2-converted-manipulated-_neutral.wav,neutral
51,data/train-custom\oumaima2_neutral.wav,neutral
52,data/train-custom\oumaima3-converted-manipulated-_neutral.wav,neutral
53,data/train-custom\oumaima3_neutral.wav,neutral
54,data/train-custom\oumaima4-manipulated-_neutral.wav,neutral
55,data/train-custom\oumaima4_neutral.wav,neutral
56,data/train-custom\oumaima5-converted-manipulated-_neutral.wav,neutral
57,data/train-custom\oumaima5_neutral.wav,neutral
58,data/train-custom\oumaima6-converted-manipulated-_neutral.wav,neutral
59,data/train-custom\oumaima6_neutral.wav,neutral
60,data/train-custom\oumaima7-converted-manipulated-_neutral.wav,neutral
61,data/train-custom\oumaima7_neutral.wav,neutral
62,data/train-custom\oumaima8-manipulated-_neutral.wav,neutral
63,data/train-custom\oumaima8_neutral.wav,neutral
64,data/train-custom\oumaima9-manipulated-_neutral.wav,neutral
65,data/train-custom\oumaima9_neutral.wav,neutral
66,data/train-custom\oumaimaA-manipulated-_neutral.wav,neutral
67,data/train-custom\oumaimaA_neutral.wav,neutral
68,data/train-custom\oumaimaB-converted-manipulated-_neutral.wav,neutral
69,data/train-custom\oumaimaB_neutral.wav,neutral
70,data/train-custom\oumaimaC-converted-manipulated-_neutral.wav,neutral
71,data/train-custom\oumaimaC_neutral.wav,neutral
72,data/train-custom\rockikz1-converted-manipulated-_neutral.wav,neutral
73,data/train-custom\rockikz1_neutral.wav,neutral
74,data/train-custom\rockikz2-converted-manipulated-_neutral.wav,neutral
75,data/train-custom\rockikz2_neutral.wav,neutral
76,data/train-custom\rockikz3-converted-manipulated-_neutral.wav,neutral
77,data/train-custom\rockikz3_neutral.wav,neutral
78,data/train-custom\rockikz4-manipulated-_neutral.wav,neutral
79,data/train-custom\rockikz4_neutral.wav,neutral
80,data/train-custom\rockikz5-converted-manipulated-_neutral.wav,neutral
81,data/train-custom\rockikz5_neutral.wav,neutral
82,data/train-custom\rockikz6-converted-manipulated-_neutral.wav,neutral
83,data/train-custom\rockikz6_neutral.wav,neutral
84,data/train-custom\rockikz7-manipulated-_neutral.wav,neutral
85,data/train-custom\rockikz7_neutral.wav,neutral
86,data/train-custom\rockikz8-manipulated-_neutral.wav,neutral
87,data/train-custom\rockikz8_neutral.wav,neutral
88,data/train-custom\rockikz9-converted-manipulated-_neutral.wav,neutral
89,data/train-custom\rockikz9_neutral.wav,neutral
90,data/train-custom\rockikzA-converted-manipulated-_neutral.wav,neutral
91,data/train-custom\rockikzA_neutral.wav,neutral
92,data/train-custom\rockikzB-converted-manipulated-_neutral.wav,neutral
93,data/train-custom\rockikzB_neutral.wav,neutral
94,data/train-custom\rockikzC-manipulated-_neutral.wav,neutral
95,data/train-custom\rockikzC_neutral.wav,neutral
96,data/train-custom\soumaya1-manipulated-_neutral.wav,neutral
97,data/train-custom\soumaya1_neutral.wav,neutral
98,data/train-custom\soumaya2-converted-manipulated-_neutral.wav,neutral
99,data/train-custom\soumaya2_neutral.wav,neutral
100,data/train-custom\hamed1-converted-manipulated-_positive.wav,positive
101,data/train-custom\hamed1_positive.wav,positive
102,data/train-custom\hamed2-converted-manipulated-_positive.wav,positive
103,data/train-custom\hamed2_positive.wav,positive
104,data/train-custom\hamed3-manipulated-_positive.wav,positive
105,data/train-custom\hamed3_positive.wav,positive
106,data/train-custom\hamed4-converted-manipulated-_positive.wav,positive
107,data/train-custom\hamed4_positive.wav,positive
108,data/train-custom\hamed5-manipulated-_positive.wav,positive
109,data/train-custom\hamed5_positive.wav,positive
110,data/train-custom\hamed6-converted-manipulated-_positive.wav,positive
111,data/train-custom\hamed6_positive.wav,positive
112,data/train-custom\hamed7-manipulated-_positive.wav,positive
113,data/train-custom\hamed7_positive.wav,positive
114,data/train-custom\hamed8-converted-manipulated-_positive.wav,positive
115,data/train-custom\hamed8_positive.wav,positive
116,data/train-custom\hamed9-manipulated-_positive.wav,positive
117,data/train-custom\hamed9_positive.wav,positive
118,data/train-custom\hamedA-manipulated-_positive.wav,positive
119,data/train-custom\hamedA_positive.wav,positive
120,data/train-custom\hamedB-manipulated-_positive.wav,positive
121,data/train-custom\hamedB_positive.wav,positive
122,data/train-custom\hamedC-converted-manipulated-_positive.wav,positive
123,data/train-custom\hamedC_positive.wav,positive
124,data/train-custom\nadjib1-manipulated-_positive.wav,positive
125,data/train-custom\nadjib1_positive.wav,positive
126,data/train-custom\nadjib2-converted-manipulated-_positive.wav,positive
127,data/train-custom\nadjib2_positive.wav,positive
128,data/train-custom\nadjib3-converted-manipulated-_positive.wav,positive
129,data/train-custom\nadjib3_positive.wav,positive
130,data/train-custom\nadjib4-converted-manipulated-_positive.wav,positive
131,data/train-custom\nadjib4_positive.wav,positive
132,data/train-custom\nadjib5-manipulated-_positive.wav,positive
133,data/train-custom\nadjib5_positive.wav,positive
134,data/train-custom\nadjib6-converted-manipulated-_positive.wav,positive
135,data/train-custom\nadjib6_positive.wav,positive
136,data/train-custom\nadjib7-converted-manipulated-_positive.wav,positive
137,data/train-custom\nadjib7_positive.wav,positive
138,data/train-custom\nadjib8-converted-manipulated-_positive.wav,positive
139,data/train-custom\nadjib8_positive.wav,positive
140,data/train-custom\nadjib9-manipulated-_positive.wav,positive
141,data/train-custom\nadjib9_positive.wav,positive
142,data/train-custom\nadjibA-converted-manipulated-_positive.wav,positive
143,data/train-custom\nadjibA_positive.wav,positive
144,data/train-custom\nadjibB-converted-manipulated-_positive.wav,positive
145,data/train-custom\nadjibB_positive.wav,positive
146,data/train-custom\nadjibC-converted-manipulated-_positive.wav,positive
147,data/train-custom\nadjibC_positive.wav,positive
148,data/train-custom\oumaima1-converted-manipulated-_positive.wav,positive
149,data/train-custom\oumaima1_positive.wav,positive
150,data/train-custom\oumaima2-converted-manipulated-_positive.wav,positive
151,data/train-custom\oumaima2_positive.wav,positive
152,data/train-custom\oumaima3-converted-manipulated-_positive.wav,positive
153,data/train-custom\oumaima3_positive.wav,positive
154,data/train-custom\oumaima4-converted-manipulated-_positive.wav,positive
155,data/train-custom\oumaima4_positive.wav,positive
156,data/train-custom\oumaima5-manipulated-_positive.wav,positive
157,data/train-custom\oumaima5_positive.wav,positive
158,data/train-custom\oumaima6-converted-manipulated-_positive.wav,positive
159,data/train-custom\oumaima6_positive.wav,positive
160,data/train-custom\oumaima7-converted-manipulated-_positive.wav,positive
161,data/train-custom\oumaima7_positive.wav,positive
162,data/train-custom\oumaima8-converted-manipulated-_positive.wav,positive
163,data/train-custom\oumaima8_positive.wav,positive
164,data/train-custom\oumaima9-manipulated-_positive.wav,positive
165,data/train-custom\oumaima9_positive.wav,positive
166,data/train-custom\oumaimaA-converted-manipulated-_positive.wav,positive
167,data/train-custom\oumaimaA_positive.wav,positive
168,data/train-custom\oumaimaB-converted-manipulated-_positive.wav,positive
169,data/train-custom\oumaimaB_positive.wav,positive
170,data/train-custom\oumaimaC-converted-manipulated-_positive.wav,positive
171,data/train-custom\oumaimaC_positive.wav,positive
172,data/train-custom\rockikz1-converted-manipulated-_positive.wav,positive
173,data/train-custom\rockikz1_positive.wav,positive
174,data/train-custom\rockikz2-converted-manipulated-_positive.wav,positive
175,data/train-custom\rockikz2_positive.wav,positive
176,data/train-custom\rockikz3-manipulated-_positive.wav,positive
177,data/train-custom\rockikz3_positive.wav,positive
178,data/train-custom\rockikz4-converted-manipulated-_positive.wav,positive
179,data/train-custom\rockikz4_positive.wav,positive
180,data/train-custom\rockikz5-manipulated-_positive.wav,positive
181,data/train-custom\rockikz5_positive.wav,positive
182,data/train-custom\rockikz6-manipulated-_positive.wav,positive
183,data/train-custom\rockikz6_positive.wav,positive
184,data/train-custom\rockikz7-converted-manipulated-_positive.wav,positive
185,data/train-custom\rockikz7_positive.wav,positive
