,path,emotion
0,data/training\Actor_01\01_01_01_01_dogs-sitting-manipulated-_negative.wav,negative
1,data/training\Actor_01\01_01_01_01_dogs-sitting_negative.wav,negative
2,data/training\Actor_01\01_01_01_01_kids-talking-converted-manipulated-_negative.wav,negative
3,data/training\Actor_01\01_01_01_01_kids-talking_negative.wav,negative
4,data/training\Actor_01\01_01_01_02_dogs-sitting-manipulated-_negative.wav,negative
5,data/training\Actor_01\01_01_01_02_dogs-sitting_negative.wav,negative
6,data/training\Actor_01\01_01_01_02_kids-talking-manipulated-_negative.wav,negative
7,data/training\Actor_01\01_01_01_02_kids-talking_negative.wav,negative
8,data/training\Actor_01\01_01_02_01_dogs-sitting-manipulated-_negative.wav,negative
9,data/training\Actor_01\01_01_02_01_dogs-sitting_negative.wav,negative
10,data/training\Actor_01\01_01_02_01_kids-talking-manipulated-_negative.wav,negative
11,data/training\Actor_01\01_01_02_01_kids-talking_negative.wav,negative
12,data/training\Actor_01\01_01_02_02_dogs-sitting-manipulated-_negative.wav,negative
13,data/training\Actor_01\01_01_02_02_dogs-sitting_negative.wav,negative
14,data/training\Actor_01\01_01_02_02_kids-talking-converted-manipulated-_negative.wav,negative
15,data/training\Actor_01\01_01_02_02_kids-talking_negative.wav,negative
16,data/training\Actor_01\01_02_01_01_dogs-sitting-converted-manipulated-_negative.wav,negative
17,data/training\Actor_01\01_02_01_01_dogs-sitting_negative.wav,negative
18,data/training\Actor_01\01_02_01_01_kids-talking-converted-manipulated-_negative.wav,negative
19,data/training\Actor_01\01_02_01_01_kids-talking_negative.wav,negative
20,data/training\Actor_01\01_02_01_02_dogs-sitting-converted-manipulated-_negative.wav,negative
21,data/training\Actor_01\01_02_01_02_dogs-sitting_negative.wav,negative
22,data/training\Actor_01\01_02_01_02_kids-talking-converted-manipulated-_negative.wav,negative
23,data/training\Actor_01\01_02_01_02_kids-talking_negative.wav,negative
24,data/training\Actor_01\01_02_02_01_dogs-sitting-manipulated-_negative.wav,negative
25,data/training\Actor_01\01_02_02_01_dogs-sitting_negative.wav,negative
26,data/training\Actor_01\01_02_02_01_kids-talking-manipulated-_negative.wav,negative
27,data/training\Actor_01\01_02_02_01_kids-talking_negative.wav,negative
